Time: 2025-01-17 12:04:28, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:04:33, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:04:38, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:04:43, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:04:48, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:04:53, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:04:58, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:05:03, RAM: 43.4%, CPU: 12.6%
Time: 2025-01-17 12:05:08, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:05:13, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:05:18, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:05:23, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:05:28, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:05:33, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:05:38, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:05:43, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:05:48, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:05:53, RAM: 43.4%, CPU: 11.1%
Time: 2025-01-17 12:05:58, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:06:03, RAM: 43.5%, CPU: 12.7%
Time: 2025-01-17 12:06:08, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:06:13, RAM: 43.4%, CPU: 10.5%
Time: 2025-01-17 12:06:18, RAM: 43.4%, CPU: 12.6%
Time: 2025-01-17 12:06:23, RAM: 43.4%, CPU: 10.6%
Time: 2025-01-17 12:06:28, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:06:33, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:06:38, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:06:43, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:06:48, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:06:53, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:06:58, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:07:03, RAM: 43.5%, CPU: 12.1%
Time: 2025-01-17 12:07:08, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:07:13, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:07:18, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:07:23, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:07:28, RAM: 43.4%, CPU: 11.5%
